Station Code, RoadNo, Lat, Lon
UBL,R7,15.351432,75.148688
UBL,R7,15.351432,75.148687
UBL,R7,15.351432,75.148686
UBL,R7,15.351433,75.148685
UBL,R7,15.351433,75.148684
UBL,R7,15.351433,75.148683
UBL,R7,15.351433,75.148682
UBL,R7,15.351433,75.148681
UBL,R7,15.351434,75.14868
UBL,R7,15.351435,75.148679
UBL,R7,15.351435,75.148677
UBL,R7,15.351437,75.148675
UBL,R7,15.351438,75.148673
UBL,R7,15.351439,75.148671
UBL,R7,15.35144,75.148668
UBL,R7,15.351442,75.148666
UBL,R7,15.351444,75.148663
UBL,R7,15.351446,75.14866
UBL,R7,15.351448,75.148657
UBL,R7,15.35145,75.148653
UBL,R7,15.351452,75.14865
UBL,R7,15.351455,75.148645
UBL,R7,15.351458,75.148641
UBL,R7,15.351461,75.148636
UBL,R7,15.351464,75.148631
UBL,R7,15.351467,75.148626
UBL,R7,15.351471,75.14862
UBL,R7,15.351474,75.148614
UBL,R7,15.351477,75.148608
UBL,R7,15.351481,75.148602
UBL,R7,15.351485,75.148596
UBL,R7,15.351489,75.148589
UBL,R7,15.351493,75.148583
UBL,R7,15.351497,75.148577
UBL,R7,15.351501,75.148571
UBL,R7,15.351506,75.148564
UBL,R7,15.35151,75.148557
UBL,R7,15.351514,75.14855
UBL,R7,15.351519,75.148543
UBL,R7,15.351524,75.148536
UBL,R7,15.351529,75.148528
UBL,R7,15.351534,75.148521
UBL,R7,15.35154,75.148512
UBL,R7,15.351545,75.148504
UBL,R7,15.351551,75.148495
UBL,R7,15.351556,75.148486
UBL,R7,15.351562,75.148477
UBL,R7,15.351567,75.148468
UBL,R7,15.351572,75.14846
UBL,R7,15.351578,75.14845
UBL,R7,15.351583,75.148441
UBL,R7,15.351589,75.148432
UBL,R7,15.351595,75.148423
UBL,R7,15.3516,75.148414
UBL,R7,15.351607,75.148404
UBL,R7,15.351613,75.148395
UBL,R7,15.351619,75.148385
UBL,R7,15.351625,75.148376
UBL,R7,15.351632,75.148366
UBL,R7,15.351638,75.148356
UBL,R7,15.351645,75.148346
UBL,R7,15.351651,75.148336
UBL,R7,15.351658,75.148325
UBL,R7,15.351665,75.148314
UBL,R7,15.351672,75.148303
UBL,R7,15.351679,75.148293
UBL,R7,15.351686,75.148281
UBL,R7,15.351693,75.14827
UBL,R7,15.351701,75.148259
UBL,R7,15.351709,75.148247
UBL,R7,15.351717,75.148236
UBL,R7,15.351724,75.148224
UBL,R7,15.351733,75.148212
UBL,R7,15.351741,75.148201
UBL,R7,15.351749,75.148188
UBL,R7,15.351758,75.148175
UBL,R7,15.351766,75.148162
UBL,R7,15.351774,75.148149
UBL,R7,15.351783,75.148135
UBL,R7,15.351792,75.148123
UBL,R7,15.351801,75.148109
UBL,R7,15.351809,75.148094
UBL,R7,15.351818,75.148081
UBL,R7,15.351827,75.148067
UBL,R7,15.351836,75.148052
UBL,R7,15.351846,75.148037
UBL,R7,15.351856,75.148022
UBL,R7,15.351866,75.148007
UBL,R7,15.351875,75.147991
UBL,R7,15.351884,75.147975
UBL,R7,15.351893,75.147959
UBL,R7,15.351902,75.147943
UBL,R7,15.351911,75.147927
UBL,R7,15.35192,75.14791
UBL,R7,15.351928,75.147894
UBL,R7,15.351937,75.147877
UBL,R7,15.351946,75.14786
UBL,R7,15.351954,75.147842
UBL,R7,15.351963,75.147825
UBL,R7,15.351971,75.147807
UBL,R7,15.351978,75.147788
UBL,R7,15.351987,75.14777
UBL,R7,15.351995,75.147752
UBL,R7,15.352002,75.147733
UBL,R7,15.352009,75.147715
UBL,R7,15.352017,75.147696
UBL,R7,15.352025,75.147677
UBL,R7,15.352032,75.147658
UBL,R7,15.352039,75.147638
UBL,R7,15.352046,75.147618
UBL,R7,15.352052,75.147599
UBL,R7,15.352059,75.147579
UBL,R7,15.352066,75.14756
UBL,R7,15.352073,75.14754
UBL,R7,15.35208,75.14752
UBL,R7,15.352087,75.1475
UBL,R7,15.352094,75.14748
UBL,R7,15.352101,75.147461
UBL,R7,15.352108,75.147441
UBL,R7,15.352114,75.147422
UBL,R7,15.352121,75.147404
UBL,R7,15.352128,75.147385
UBL,R7,15.352135,75.147368
UBL,R7,15.352143,75.14735
UBL,R7,15.352151,75.147331
UBL,R7,15.352158,75.147313
UBL,R7,15.352166,75.147296
UBL,R7,15.352174,75.147279
UBL,R7,15.352181,75.147261
UBL,R7,15.352189,75.147244
UBL,R7,15.352196,75.147226
UBL,R7,15.352204,75.147209
UBL,R7,15.352212,75.147192
UBL,R7,15.35222,75.147176
UBL,R7,15.352228,75.147159
UBL,R7,15.352235,75.147143
UBL,R7,15.352244,75.147127
UBL,R7,15.352252,75.147111
UBL,R7,15.35226,75.147095
UBL,R7,15.352268,75.147079
UBL,R7,15.352276,75.147063
UBL,R7,15.352285,75.147048
UBL,R7,15.352293,75.147033
UBL,R7,15.352301,75.147018
UBL,R7,15.35231,75.147003
UBL,R7,15.352318,75.146988
UBL,R7,15.352327,75.146973
UBL,R7,15.352336,75.146958
UBL,R7,15.352344,75.146943
UBL,R7,15.352353,75.146928
BJP,R1,16.833804,75.739466
BJP,R1,16.833765,75.739468
BJP,R1,16.833726,75.739469
BJP,R1,16.833686,75.73947
BJP,R1,16.833646,75.739471
BJP,R1,16.833606,75.739472
BJP,R1,16.833566,75.739473
BJP,R1,16.833526,75.739474
BJP,R1,16.833486,75.739476
BJP,R1,16.833448,75.739477
BJP,R1,16.83341,75.739478
BJP,R1,16.833373,75.739479
BJP,R1,16.833336,75.73948
BJP,R1,16.8333,75.739481
BJP,R1,16.833266,75.739482
BJP,R1,16.833232,75.739485
BJP,R1,16.833198,75.739487
BJP,R1,16.833165,75.739489
BJP,R1,16.833132,75.739491
BJP,R1,16.833101,75.739493
BJP,R1,16.83307,75.739496
BJP,R1,16.83304,75.739499
BJP,R1,16.833009,75.7395
BJP,R1,16.832978,75.739501
BJP,R1,16.832949,75.739503
